"address","city","country_code","domain","fid","kgmid","latitude","longitude","neighborhood","phone","phone_unformatted","place_id","popular_times_weekly/0/close","popular_times_weekly/0/day","popular_times_weekly/0/open","popular_times_weekly/1/close","popular_times_weekly/1/day","popular_times_weekly/1/open","popular_times_weekly/2/close","popular_times_weekly/2/day","popular_times_weekly/2/open","popular_times_weekly/3/close","popular_times_weekly/3/day","popular_times_weekly/3/open","popular_times_weekly/4/close","popular_times_weekly/4/day","popular_times_weekly/4/open","popular_times_weekly/5/close","popular_times_weekly/5/day","popular_times_weekly/5/open","popular_times_weekly/6/close","popular_times_weekly/6/day","popular_times_weekly/6/open","popular_times_weekly/7/close","popular_times_weekly/7/day","popular_times_weekly/7/open","postal_code","reviews_count","state","street","title","total_score","website"
"Beşiktaş Güzellik Salonu, Ekeroğlu Apt, Türkali, Nüzhetiye Cd. No: 58 Daire:8, 34357 Beşiktaş/İstanbul, Türkiye","Beşiktaş","TR",,"0x14cab7e2f03c4011:0x73310962d09484b2","/g/11yxpvmbvm","41.0487955","29.0007552","Ekeroğlu Apt, Nüzhetiye Cd. No: 58 Daire:8","+905323816393","0532 381 63 93","ChIJEUA88OK3yhQRsoSU0GIJMXM","8pm","Saturday","9am","8pm","Saturday","9am",,,,,,,,,,,,,,,,,,,"34357",,"İstanbul","Ekeroğlu Apt, Nüzhetiye Cd. No: 58 Daire:8","Beşiktaş Güzellik Salonu",,
"Estemagic Güzellik ve Estetik Merkezi, No:, Zeytinlik, Ebuziya Cd. No:40, 34140 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabca4cd5266eb:0x18fcf9621ebd27a","/g/11bx8qz_2z","40.976279","28.875013","No:, Ebuziya Cd. No:40","+902125606035","(0212) 560 60 35","ChIJ62ZSzaS8yhQRetLrIZbPjwE","10pm","Saturday","9am","10pm","Saturday","9am",,,,,,,,,,,,,,,,,,,"34140",,"İstanbul","No:, Ebuziya Cd. No:40","Estemagic Güzellik ve Estetik Merkezi",,
"MİSS GÜZELLİK SALONU (SAKİNE PARLAR ), Metropol Avm karşısında Türkiye iş bankasının yanında, Atatürk, Sedef Cd. 38. Ada Ata 3/5 blok No.28, 34758 Ataşehir/İstanbul, Türkiye","Ataşehir","TR",,"0x14cac933e234af8b:0x8f91d34a3c54b6f2","/g/11fjq3pddy","40.9925437","29.1235918","Metropol Avm karşısında Türkiye iş bankasının yanında, Sedef Cd. 38. Ada Ata 3/5 blok No.28","+905412225588","0541 222 55 88","ChIJi6804jPJyhQR8rZUPErTkY8","7pm","Saturday","9am","7pm","Saturday","9am",,,,,,,,,,,,,,,,,,,"34758",,"İstanbul","Metropol Avm karşısında Türkiye iş bankasının yanında, Sedef Cd. 38. Ada Ata 3/5 blok No.28","MİSS GÜZELLİK SALONU (SAKİNE PARLAR )",,
"M.Akkaya Beauty | Bakırköy Protez Tırnak | Ataköy Protez Tırnak | Bakırköy Güzellik Salonu, Cevizlik, İstanbul Cd. Pelin işhanı No:3 İç Kapı:103, 34142 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabbe44ca5b455:0x83b3beb62ee4dc15","/g/11p768gd4z","40.9785233","28.8746804","İstanbul Cd. Pelin işhanı No:3 İç Kapı:103","+905343650760","0534 365 07 60","ChIJVbSlTOS7yhQRFdzkLra-s4M","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am",,"Sunday",,"8pm","Saturday","10am","34142","331","İstanbul","İstanbul Cd. Pelin işhanı No:3 İç Kapı:103","M.Akkaya Beauty | Bakırköy Protez Tırnak | Ataköy Protez Tırnak | Bakırköy Güzellik Salonu","4.8",
"Bakırköy Servet Çetin Estetik ve Güzellik Merkezi, Cevizlik, İstanbul Cd. no:27 kat:2, 34142 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabca4640eeedb:0x886d4a522c4b6a41","/g/11hd9qdqs_","40.9786322","28.8761256","İstanbul Cd. no:27 kat:2","+902125702810","(0212) 570 28 10","ChIJ2-4OZKS8yhQRQWpLLFJKbYg","7pm","Saturday","10am","7pm","Friday","10am","7pm","Thursday","10am","7pm","Wednesday","10am","7pm","Tuesday","10am","7pm","Monday","10am",,"Sunday",,"7pm","Saturday","10am","34142","67","İstanbul","İstanbul Cd. no:27 kat:2","Bakırköy Servet Çetin Estetik ve Güzellik Merkezi","4.7",
"Doğan Eray Güzellik Merkezi, Zeytinlik, Taşevler Sk. no:2 Kat:1 Daire:8, 34140 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabddec593160d:0x7554dc5e407dcf37","/g/11x916ff9j","40.9774468","28.8745595","Taşevler Sk. no:2 Kat:1 Daire:8","+905323363572","0532 336 35 72","ChIJDRaTxd69yhQRN899QF7cVHU","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am","8pm","Sunday","10am","8pm","Saturday","10am","34140","60","İstanbul","Taşevler Sk. no:2 Kat:1 Daire:8","Doğan Eray Güzellik Merkezi","4.9",
"Figen ACADEMY, Sinanpaşa, Ortabahçe Cd. No:17, 34000 Beşiktaş/İstanbul, Türkiye","Beşiktaş","TR",,"0x14cab7a21e92f197:0x66213749c48326f9","/g/11h45rdjfn","41.042485","29.004424","Ortabahçe Cd. No:17","+905369543662","0536 954 36 62","ChIJl_GSHqK3yhQR-SaDxEk3IWY","8pm","Saturday","9am","8pm","Friday","9am","8pm","Thursday","9am","8pm","Wednesday","9am","8pm","Tuesday","9am","8pm","Monday","9am","8pm","Sunday","1","8pm","Saturday","9am","34000","2597","İstanbul","Ortabahçe Cd. No:17","Figen ACADEMY","4.9",
"She's World Güzellik Merkezi, Mareşal Fevzi Çakmak Caddesi. 2.sokak Yıldızdelen İş Merkezi No:1 Dr:15, BAHÇELİEVLER/İSTANBUL, Şirinevler Mahallesi, Bahçelievler, 34188 İstanbul, Türkiye","Bahçelievler","TR",,"0x14caa3586513e7c3:0xcf65dd91d6a41dd4","/g/11gd3bt8zx","40.992576","28.8452922","Mareşal Fevzi Çakmak Caddesi. 2.sokak Yıldızdelen İş Merkezi No:1 Dr:15, BAHÇELİEVLER/İSTANBUL, Şirinevler Mahallesi","+905452584765","0545 258 47 65","ChIJw-cTZVijyhQR1B2k1pHdZc8","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am",,"Tuesday",,"8pm","Monday","10am","8pm","Sunday","10am","8pm","Saturday","10am","34188","149","İstanbul","Mareşal Fevzi Çakmak Caddesi. 2.sokak Yıldızdelen İş Merkezi No:1 Dr:15, BAHÇELİEVLER/İSTANBUL, Şirinevler Mahallesi","She's World Güzellik Merkezi","4.1",
"Beauty Güzellik Salonu, BAKİRKÖY cevizlik mahallesi Hüsreviye sokak/9 D /7/8/11, Fıratlı han, 34180 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabb4cf11e841d:0xd5c0de6f5293e6a7","/g/11fzst8x3h","40.9796297","28.8747685","BAKİRKÖY cevizlik mahallesi Hüsreviye sokak/9 D /7/8/11, Fıratlı han","+902124417576","(0212) 441 75 76","ChIJHYQe8Uy7yhQRp-aTUm_ewNU","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am","8pm","Sunday","11am","8pm","Saturday","10am","34180","48","İstanbul","BAKİRKÖY cevizlik mahallesi Hüsreviye sokak/9 D /7/8/11, Fıratlı han","Beauty Güzellik Salonu","4.3",
"Doruk Güzellik Salonlari, Zeytinlik Mah. Fişekhane Cad. No:56 Kat:2 D:3 Ataköy Palas Apt, 34140 Bakırköy, Türkiye","Bakırköy","TR",,"0x14cabdde14eff167:0x419cbc33d20873a3","/g/11ffw9mbh5","40.9782151","28.8714732","Zeytinlik Mah. Fişekhane Cad. No:56 Kat:2 D:3 Ataköy Palas Apt","+902125439437","(0212) 543 94 37","ChIJZ_HvFN69yhQRo3MI0jO8nEE","10:30pm","Saturday","8am","10:30pm","Friday","8am","10:30pm","Thursday","8am","10:30pm","Wednesday","8am","10:30pm","Tuesday","8am","10:30pm","Monday","8am","8:30pm","Sunday","10am","10:30pm","Saturday","8am","34140","44","İstanbul","Zeytinlik Mah. Fişekhane Cad. No:56 Kat:2 D:3 Ataköy Palas Apt","Doruk Güzellik Salonlari","4.3",
"Luxury Beauty Center, 19 Mayıs Mahallesi, Atatürk Caddesi, Yamaç Sokak, Şeref Yazgan İş Merkezi Bina No: 1, Kat: 2, Daire: 8-9, 34736 Kadıköy/İstanbul, Türkiye","Kadıköy","TR",,"0x14cac7c42f7f6827:0x48fd17737a81ed14","/g/11fmbcx62c","40.9807866","29.0901198","19 Mayıs Mahallesi, Atatürk Caddesi, Yamaç Sokak, Şeref Yazgan İş Merkezi Bina No: 1, Kat: 2, Daire: 8-9","+905349167777","0534 916 77 77","ChIJJ2h_L8THyhQRFO2BenMX_Ug","7pm","Saturday","9am","7pm","Friday","9am","7pm","Thursday","9am","7pm","Wednesday","9am","7pm","Tuesday","9am","7pm","Monday","9am",,"Sunday",,"7pm","Saturday","9am","34736","43","İstanbul","19 Mayıs Mahallesi, Atatürk Caddesi, Yamaç Sokak, Şeref Yazgan İş Merkezi Bina No: 1, Kat: 2, Daire: 8-9","Luxury Beauty Center","4.6",
"Bakırköy Popüler Güzellik Merkezi, Zeytinlik Mahallesi, Ebuziya caddesi, MustafaBey İşhanı No:8 Kat: 4, 34140 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabdf4958fa167:0xe713294a4bc5cc4f","/g/11lm14n1tq","40.9781195","28.874339","Zeytinlik Mahallesi, Ebuziya caddesi, MustafaBey İşhanı No:8 Kat: 4","+905455917360","0545 591 73 60","ChIJZ6GPlfS9yhQRT8zFS0opE-c","7pm","Saturday","9am","7pm","Friday","9am","7pm","Thursday","9am","7pm","Wednesday","9am","7pm","Tuesday","9am","7pm","Monday","9am","7pm","Sunday","9am","7pm","Saturday","9am","34140","74","İstanbul","Zeytinlik Mahallesi, Ebuziya caddesi, MustafaBey İşhanı No:8 Kat: 4","Bakırköy Popüler Güzellik Merkezi","4",
"Suna Luxury Beauty, BEYAZ REZIDANS, Maltepe, Teyyareci Sami Sk. B1 NO: 2 C, 34010 Zeytinburnu/İstanbul, Türkiye","Zeytinburnu","TR",,"0x14cabba60d8c3d2d:0xf03d1961e9e98c24","/g/11kc7yrcnc","41.0162751","28.9055484","BEYAZ REZIDANS, Teyyareci Sami Sk. B1 NO: 2 C","+905451689209","0545 168 92 09","ChIJLT2MDaa7yhQRJIzp6WEZPfA","6:30pm","Saturday","9:30am","6:30pm","Friday","9:30am","6:30pm","Thursday","9:30am","6:30pm","Wednesday","9:30am","6:30pm","Tuesday","9:30am","6:30pm","Monday","9:30am","6:30pm","Sunday","9:30am","6:30pm","Saturday","9:30am","34010","1504","İstanbul","BEYAZ REZIDANS, Teyyareci Sami Sk. B1 NO: 2 C","Suna Luxury Beauty","4.8",
"NESLİHAN ATİLLA BEAUTY, Osmaniye, İncirli Yolu Sk. Numara:29 D:C, 34146 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabb011ea34913:0xf82aa6902d38737c","/g/11kr8pwldz","40.9937118","28.8768993","İncirli Yolu Sk. Numara:29 D:C","+905317900817","0531 790 08 17","ChIJE0mjHgG7yhQRfHM4LZCmKvg","8pm","Saturday","8am","8pm","Friday","8am","8pm","Thursday","8am","8pm","Wednesday","8am","8pm","Tuesday","8am","8pm","Monday","8am",,"Sunday",,"8pm","Saturday","8am","34146","416","İstanbul","İncirli Yolu Sk. Numara:29 D:C","NESLİHAN ATİLLA BEAUTY","5",
"Lily's Beauty Studio Lilys | Güzellik Salonu | Bölgesel Zayıflama | Vücut Sıkılaştırma | Cilt Bakımı | Epilasyon, Nişantaşı Gül apart, Halaskargazi, Rumeli Cd. No:11 kat:4, 34365 Şişli/İstanbul, Türkiye","Şişli","TR",,"0x14cab71d19f20b31:0xe798b034cc846edf","/g/11frz9s5xy","41.0522682","28.9905793","Nişantaşı Gül apart, Rumeli Cd. No:11 kat:4","+905451024412","0545 102 44 12","ChIJMQvyGR23yhQR326EzDSwmOc","6:30pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am",,"Sunday",,"6:30pm","Saturday","10am","34365","468","İstanbul","Nişantaşı Gül apart, Rumeli Cd. No:11 kat:4","Lily's Beauty Studio Lilys | Güzellik Salonu | Bölgesel Zayıflama | Vücut Sıkılaştırma | Cilt Bakımı | Epilasyon","4.8",
"Glamour Güzellik Merkezi, Meşrutiyet, Şair Nigar Sk. 29A, 34363 Şişli/İstanbul, Türkiye","Şişli","TR",,"0x14cac55c39cbdcd7:0x9e3e61529af320b0","/g/11lndq371p","41.0528641","28.9908526","Şair Nigar Sk. 29A","+905324006650","0532 400 66 50","ChIJ19zLOVzFyhQRsCDzmlJhPp4","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am","8pm","Sunday","11am","8pm","Saturday","10am","34363","102","İstanbul","Şair Nigar Sk. 29A","Glamour Güzellik Merkezi","4.7",
"Yelsa Güzellik Salonu - Ataköy, Güney Yan, Ataköy 7-8-9-10 D-100, Airport AVM D:425, 34158 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14caa3ca88f00b7d:0xac5f05c079a19457","/g/11lds2sj70","40.9918954","28.830723","Güney Yan, Ataköy 7-8-9-10 D-100, Airport AVM D:425","+905398797019","0539 879 70 19","ChIJfQvwiMqjyhQRV5ShecAFX6w","10pm","Saturday","10am","10pm","Friday","10am","10pm","Thursday","10am","10pm","Wednesday","10am","10pm","Tuesday","10am","10pm","Monday","10am","10pm","Sunday","10am","10pm","Saturday","10am","34158","283","İstanbul","Güney Yan, Ataköy 7-8-9-10 D-100, Airport AVM D:425","Yelsa Güzellik Salonu - Ataköy","4.6",
"SECRET BEAUTY CENTER / TAKSİM/WAXİNG SALON SKINCARE SALON, Gümüşsuyu, Hariciye Konağı Sk. No:1 Sağlık APT. Daire:2, 34437 Beyoğlu/İstanbul, Türkiye","Beyoğlu","TR",,"0x14cab7639752fa7f:0x77fd052d99f7ca59","/g/11fsyv4s6s","41.0349881","28.987989","Hariciye Konağı Sk. No:1 Sağlık APT. Daire:2",,,"ChIJf_pSl2O3yhQRWcr3mS0F_Xc","8:30pm","Saturday","10am","8:30pm","Friday","10am","8:30pm","Thursday","10am","8:30pm","Wednesday","10am","8:30pm","Tuesday","10am","8:30pm","Monday","10am","8:30pm","Sunday","10am","8:30pm","Saturday","10am","34437","683","İstanbul","Hariciye Konağı Sk. No:1 Sağlık APT. Daire:2","SECRET BEAUTY CENTER / TAKSİM/WAXİNG SALON SKINCARE SALON","4.8",
"Asya Beauty Lazer Epilasyon Ve Estetik Çapa, Şehremini, Necip Asım Sk. No:28 kat 1, 34095 Fatih/İstanbul, Türkiye","Fatih","TR",,"0x14cabb0f9eedc8e5:0xb4ec3f68aba3a83b","/g/11mw6xttfp","41.0134021","28.9338273","Necip Asım Sk. No:28 kat 1","+905536396772","0553 639 67 72","ChIJ5cjtng-7yhQRO6ijq2g_7LQ","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am",,"Sunday",,"8pm","Saturday","10am","34095","194","İstanbul","Necip Asım Sk. No:28 kat 1","Asya Beauty Lazer Epilasyon Ve Estetik Çapa","4.7",
"Olena Orbey Güzellik Salonu, Kısım Mh, Nivo Ataköy, Ataköy 7-8-9-10. Kısım, Yan Yol No:12/2 E-5, 34134 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14caa396933ba995:0x46ba33ba4c06944","/g/11fvjxv7y9","40.9919553","28.8289963","Kısım Mh, Nivo Ataköy, Yan Yol No:12/2 E-5","+905424662332","0542 466 23 32","ChIJlak7k5ajyhQRRGnApDujawQ","6pm","Saturday","10am","6pm","Friday","10am","6pm","Thursday","10am","6pm","Wednesday","10am",,"Tuesday",,"6pm","Monday","10am","5pm","Sunday","10am","6pm","Saturday","10am","34134","116","İstanbul","Kısım Mh, Nivo Ataköy, Yan Yol No:12/2 E-5","Olena Orbey Güzellik Salonu","4.8",
"merve sayın ağda & güzellik salonu, Siyavuşpaşa, Sardunya Sk. no 18/A, 34180 Bahçelievler/İstanbul, Türkiye","Bahçelievler","TR",,"0x14caa5f4d6c1fec5:0x1b2c1f86a5198447","/g/11jv73bls8","41.0060378","28.8582788","Sardunya Sk. no 18/A","+905414976286","0541 497 62 86","ChIJxf7B1vSlyhQRR4QZpYYfLBs","8pm","Saturday","8am","8pm","Friday","8am","8pm","Thursday","8am","8pm","Wednesday","8am","8pm","Tuesday","8am","8pm","Monday","8am",,"Sunday",,"8pm","Saturday","8am","34180","181","İstanbul","Sardunya Sk. no 18/A","merve sayın ağda & güzellik salonu","4.9",
"AS Guzellik Salonu, Akşemsettin, Hırka-i Şerif Cd. 12/A, 34080 Fatih/İstanbul - Avrupa, Türkiye","Fatih","TR",,"0x14caba226688233d:0x85ffbd943630b900","/g/1xflmn6f","41.0211703","28.9449037","Hırka-i Şerif Cd. 12/A","+902125342476","(0212) 534 24 76","ChIJPSOIZiK6yhQRALkwNpS9_4U","8pm","Saturday","9am","8pm","Friday","9am","8pm","Thursday","9am","8pm","Wednesday","9am","8pm","Tuesday","9am","8pm","Monday","9am","8pm","Sunday","9am","8pm","Saturday","9am","34080","227","İstanbul - Avrupa","Hırka-i Şerif Cd. 12/A","AS Guzellik Salonu","4.5",
"Arzu Genç Güzellik Merkezi, Zuhuratbaba, Yeni İncirli Sk. No:27, 34147 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabda30add85fb:0x2a629938a237c0da","/g/11s_gcs7vk","40.9844845","28.8693841","Yeni İncirli Sk. No:27","+905524078071","0552 407 80 71","ChIJ-4XdCqO9yhQR2sA3ojiZYio","7:30pm","Saturday","9am","7:30pm","Friday","9am","7:30pm","Thursday","9am","7:30pm","Wednesday","9am","7:30pm","Tuesday","9am",,"Monday",,"7:30pm","Sunday","9am","7:30pm","Saturday","9am","34147","18","İstanbul","Yeni İncirli Sk. No:27","Arzu Genç Güzellik Merkezi","5",
"Tuğçe'm Epilasyon & Güzellik, Zeytinlik, Sporcu Sk. No:7, 34140 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabcafdb3ee341:0x85f16a54c4ba4ced","/g/11dym88lp6","40.9783612","28.869418","Sporcu Sk. No:7","+902125830044","(0212) 583 00 44","ChIJQeM-26-8yhQR7Uy6xFRq8YU","8pm","Saturday","10am","8pm","Friday","10am","8pm","Thursday","10am","8pm","Wednesday","10am","8pm","Tuesday","10am","8pm","Monday","10am",,"Sunday",,"8pm","Saturday","10am","34140","82","İstanbul","Sporcu Sk. No:7","Tuğçe'm Epilasyon & Güzellik","4.2",
"Güzellik Care island İstanbul, Cumhuriyet, Kazım Orbay Cd. no:24 D:1, 34384 Şişli/İstanbul, Türkiye","Şişli","TR",,"0x14cab7b4f8ae919d:0x96758c2c513a904b","/g/11fk8hlc3c","41.0558617","28.9823493","Kazım Orbay Cd. no:24 D:1","+905322306068","0532 230 60 68","ChIJnZGu-LS3yhQRS5A6USyMdZY","10:30pm","Saturday","8am","10:30pm","Friday","8am","10:30pm","Thursday","8am","10:30pm","Wednesday","8am","10:30pm","Tuesday","8am","10:30pm","Monday","8am","10:30pm","Sunday","8am","10:30pm","Saturday","8am","34384","448","İstanbul","Kazım Orbay Cd. no:24 D:1","Güzellik Care island İstanbul","4.9",
